#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu04015	Rap1 signaling pathway	14	208	0.34	0.1256	10090.ENSMUSP00000000299,10090.ENSMUSP00000003154,10090.ENSMUSP00000020617,10090.ENSMUSP00000022697,10090.ENSMUSP00000025522,10090.ENSMUSP00000030187,10090.ENSMUSP00000035662,10090.ENSMUSP00000056774,10090.ENSMUSP00000057543,10090.ENSMUSP00000076115,10090.ENSMUSP00000088837,10090.ENSMUSP00000118318,10090.ENSMUSP00000130530,10090.ENSMUSP00000130604	Itgb2,Efna2,Flt4,Fgf17,Pdgfrb,Tln1,Arap3,Pik3r1,Gnai2,Efna5,Insr,Afdn,Adcy4,Plce1
mmu04390	Hippo signaling pathway	11	155	0.36	0.1256	10090.ENSMUSP00000000299,10090.ENSMUSP00000009143,10090.ENSMUSP00000012281,10090.ENSMUSP00000029611,10090.ENSMUSP00000031317,10090.ENSMUSP00000037779,10090.ENSMUSP00000053551,10090.ENSMUSP00000056977,10090.ENSMUSP00000078337,10090.ENSMUSP00000108455,10090.ENSMUSP00000109687	Itgb2,Bmp7,Bmp5,Lef1,Rassf6,Bmp8a,Fzd9,Ajuba,Apc,Amot,Tcf7l1
mmu04512	ECM-receptor interaction	8	86	0.48	0.1256	10090.ENSMUSP00000001547,10090.ENSMUSP00000017488,10090.ENSMUSP00000030372,10090.ENSMUSP00000031668,10090.ENSMUSP00000043957,10090.ENSMUSP00000069087,10090.ENSMUSP00000107729,10090.ENSMUSP00000112472	Col1a1,Vtn,Col9a2,Col1a2,Lama1,Lamb2,Itga6,Col6a4
mmu04670	Leukocyte transendothelial migration	9	113	0.41	0.1256	10090.ENSMUSP00000000299,10090.ENSMUSP00000034339,10090.ENSMUSP00000041925,10090.ENSMUSP00000056774,10090.ENSMUSP00000057543,10090.ENSMUSP00000083587,10090.ENSMUSP00000102408,10090.ENSMUSP00000113071,10090.ENSMUSP00000118318	Itgb2,Cdh5,Cldn5,Pik3r1,Gnai2,Icam1,Pecam1,Msn,Afdn
mmu04713	Circadian entrainment	8	93	0.44	0.1256	10090.ENSMUSP00000005164,10090.ENSMUSP00000057543,10090.ENSMUSP00000063329,10090.ENSMUSP00000063784,10090.ENSMUSP00000067057,10090.ENSMUSP00000124963,10090.ENSMUSP00000130530,10090.ENSMUSP00000136655	Prkacb,Gnai2,Kcnj3,Adcyap1r1,Adcyap1,Prkg2,Adcy4,Gm5741
mmu04727	GABAergic synapse	8	87	0.47	0.1256	10090.ENSMUSP00000005164,10090.ENSMUSP00000032200,10090.ENSMUSP00000033711,10090.ENSMUSP00000057543,10090.ENSMUSP00000066779,10090.ENSMUSP00000126114,10090.ENSMUSP00000130530,10090.ENSMUSP00000136655	Prkacb,Slc6a12,Gabrq,Gnai2,Slc6a13,Gabra6,Adcy4,Gm5741
mmu04918	Thyroid hormone synthesis	7	73	0.49	0.1256	10090.ENSMUSP00000005164,10090.ENSMUSP00000031314,10090.ENSMUSP00000047353,10090.ENSMUSP00000081011,10090.ENSMUSP00000083077,10090.ENSMUSP00000090637,10090.ENSMUSP00000130530	Prkacb,Alb,Atp1b2,Gpx3,Atp1a2,Asgr1,Adcy4
mmu04923	Regulation of lipolysis in adipocytes	6	55	0.55	0.1256	10090.ENSMUSP00000005164,10090.ENSMUSP00000056774,10090.ENSMUSP00000057543,10090.ENSMUSP00000088837,10090.ENSMUSP00000124963,10090.ENSMUSP00000130530	Prkacb,Pik3r1,Gnai2,Insr,Prkg2,Adcy4
mmu04924	Renin secretion	7	71	0.5	0.1256	10090.ENSMUSP00000005164,10090.ENSMUSP00000021796,10090.ENSMUSP00000046601,10090.ENSMUSP00000057543,10090.ENSMUSP00000063784,10090.ENSMUSP00000067057,10090.ENSMUSP00000124963	Prkacb,Edn1,Pde1c,Gnai2,Adcyap1r1,Adcyap1,Prkg2
mmu04964	Proximal tubule bicarbonate reclamation	4	22	0.77	0.1256	10090.ENSMUSP00000022322,10090.ENSMUSP00000029017,10090.ENSMUSP00000047353,10090.ENSMUSP00000083077	Glud1,Pck1,Atp1b2,Atp1a2
mmu04974	Protein digestion and absorption	9	106	0.44	0.1256	10090.ENSMUSP00000001547,10090.ENSMUSP00000029848,10090.ENSMUSP00000030372,10090.ENSMUSP00000031668,10090.ENSMUSP00000047353,10090.ENSMUSP00000083077,10090.ENSMUSP00000101049,10090.ENSMUSP00000104136,10090.ENSMUSP00000112472	Col1a1,Col24a1,Col9a2,Col1a2,Atp1b2,Atp1a2,Col18a1,Slc1a5,Col6a4
mmu05032	Morphine addiction	8	88	0.47	0.1256	10090.ENSMUSP00000005164,10090.ENSMUSP00000033711,10090.ENSMUSP00000046601,10090.ENSMUSP00000057543,10090.ENSMUSP00000063329,10090.ENSMUSP00000126114,10090.ENSMUSP00000130530,10090.ENSMUSP00000136655	Prkacb,Gabrq,Pde1c,Gnai2,Kcnj3,Gabra6,Adcy4,Gm5741
mmu05224	Breast cancer	11	146	0.39	0.1256	10090.ENSMUSP00000019924,10090.ENSMUSP00000020617,10090.ENSMUSP00000022697,10090.ENSMUSP00000029611,10090.ENSMUSP00000040576,10090.ENSMUSP00000053551,10090.ENSMUSP00000053897,10090.ENSMUSP00000056774,10090.ENSMUSP00000078337,10090.ENSMUSP00000085016,10090.ENSMUSP00000109687	Hey2,Flt4,Fgf17,Lef1,Heyl,Fzd9,Erbb2,Pik3r1,Apc,Notch3,Tcf7l1
mmu05206	MicroRNAs in cancer	11	159	0.35	0.1423	10090.ENSMUSP00000003154,10090.ENSMUSP00000020234,10090.ENSMUSP00000024811,10090.ENSMUSP00000025522,10090.ENSMUSP00000034815,10090.ENSMUSP00000053897,10090.ENSMUSP00000056774,10090.ENSMUSP00000076115,10090.ENSMUSP00000078337,10090.ENSMUSP00000085016,10090.ENSMUSP00000087686	Efna2,Timp3,Pim1,Pdgfrb,Kif23,Erbb2,Pik3r1,Efna5,Apc,Notch3,Bmf
mmu05215	Prostate cancer	8	99	0.42	0.1522	10090.ENSMUSP00000025522,10090.ENSMUSP00000026416,10090.ENSMUSP00000027243,10090.ENSMUSP00000029611,10090.ENSMUSP00000033941,10090.ENSMUSP00000053897,10090.ENSMUSP00000056774,10090.ENSMUSP00000109687	Pdgfrb,Cdk2,Il1r2,Lef1,Plat,Erbb2,Pik3r1,Tcf7l1
mmu04611	Platelet activation	9	120	0.38	0.1536	10090.ENSMUSP00000001547,10090.ENSMUSP00000005164,10090.ENSMUSP00000020930,10090.ENSMUSP00000030187,10090.ENSMUSP00000031668,10090.ENSMUSP00000056774,10090.ENSMUSP00000057543,10090.ENSMUSP00000124963,10090.ENSMUSP00000130530	Col1a1,Prkacb,Gna13,Tln1,Col1a2,Pik3r1,Gnai2,Prkg2,Adcy4
mmu05418	Fluid shear stress and atherosclerosis	10	142	0.36	0.1561	10090.ENSMUSP00000001713,10090.ENSMUSP00000003947,10090.ENSMUSP00000021796,10090.ENSMUSP00000027243,10090.ENSMUSP00000033941,10090.ENSMUSP00000034339,10090.ENSMUSP00000056774,10090.ENSMUSP00000064823,10090.ENSMUSP00000083587,10090.ENSMUSP00000102408	Gstt1,Nqo1,Edn1,Il1r2,Plat,Cdh5,Pik3r1,Klf2,Icam1,Pecam1
mmu05166	Human T-cell leukemia virus 1 infection	14	232	0.29	0.1566	10090.ENSMUSP00000000299,10090.ENSMUSP00000005164,10090.ENSMUSP00000026416,10090.ENSMUSP00000027243,10090.ENSMUSP00000030187,10090.ENSMUSP00000037039,10090.ENSMUSP00000056774,10090.ENSMUSP00000057815,10090.ENSMUSP00000078138,10090.ENSMUSP00000083587,10090.ENSMUSP00000099739,10090.ENSMUSP00000109870,10090.ENSMUSP00000130530,10090.ENSMUSP00000134570	Itgb2,Prkacb,Cdk2,Il1r2,Tln1,Tspo,Pik3r1,Zfp36,H2-Q2,Icam1,H2-T23,H2-DMb1,Adcy4,H2-D1
mmu05217	Basal cell carcinoma	6	63	0.49	0.1566	10090.ENSMUSP00000026474,10090.ENSMUSP00000029611,10090.ENSMUSP00000053551,10090.ENSMUSP00000078047,10090.ENSMUSP00000078337,10090.ENSMUSP00000109687	Gli1,Lef1,Fzd9,Hhip,Apc,Tcf7l1
mmu04022	cGMP-PKG signaling pathway	11	166	0.33	0.1580	10090.ENSMUSP00000020930,10090.ENSMUSP00000022718,10090.ENSMUSP00000023589,10090.ENSMUSP00000032974,10090.ENSMUSP00000047353,10090.ENSMUSP00000057543,10090.ENSMUSP00000070200,10090.ENSMUSP00000083077,10090.ENSMUSP00000088837,10090.ENSMUSP00000124963,10090.ENSMUSP00000130530	Gna13,Ednrb,Kng1,Atp2a1,Atp1b2,Gnai2,Adra1b,Atp1a2,Insr,Prkg2,Adcy4
mmu04080	Neuroactive ligand-receptor interaction	19	354	0.24	0.1580	10090.ENSMUSP00000006046,10090.ENSMUSP00000021796,10090.ENSMUSP00000022718,10090.ENSMUSP00000023589,10090.ENSMUSP00000028233,10090.ENSMUSP00000028883,10090.ENSMUSP00000033711,10090.ENSMUSP00000036765,10090.ENSMUSP00000037039,10090.ENSMUSP00000041519,10090.ENSMUSP00000055697,10090.ENSMUSP00000060517,10090.ENSMUSP00000063784,10090.ENSMUSP00000065157,10090.ENSMUSP00000067057,10090.ENSMUSP00000070200,10090.ENSMUSP00000094021,10090.ENSMUSP00000126114,10090.ENSMUSP00000151504	Trh,Edn1,Ednrb,Kng1,Hc,Pdyn,Gabrq,P2ry2,Tspo,Sct,P2ry6,Galr3,Adcyap1r1,Npy5r,Adcyap1,Adra1b,Htr2c,Gabra6,Pomc
mmu04020	Calcium signaling pathway	12	191	0.31	0.1653	10090.ENSMUSP00000005164,10090.ENSMUSP00000022718,10090.ENSMUSP00000025522,10090.ENSMUSP00000032974,10090.ENSMUSP00000046601,10090.ENSMUSP00000053897,10090.ENSMUSP00000070200,10090.ENSMUSP00000094021,10090.ENSMUSP00000130530,10090.ENSMUSP00000130604,10090.ENSMUSP00000131010,10090.ENSMUSP00000131991	Prkacb,Ednrb,Pdgfrb,Atp2a1,Pde1c,Erbb2,Adra1b,Htr2c,Adcy4,Plce1,Sphk1,Tnnc1
mmu04010	MAPK signaling pathway	16	287	0.25	0.1729	10090.ENSMUSP00000003154,10090.ENSMUSP00000005164,10090.ENSMUSP00000020118,10090.ENSMUSP00000020617,10090.ENSMUSP00000022697,10090.ENSMUSP00000025522,10090.ENSMUSP00000044660,10090.ENSMUSP00000047900,10090.ENSMUSP00000053897,10090.ENSMUSP00000064163,10090.ENSMUSP00000076115,10090.ENSMUSP00000078757,10090.ENSMUSP00000088837,10090.ENSMUSP00000123506,10090.ENSMUSP00000132512,10090.ENSMUSP00000136655	Efna2,Prkacb,Dusp6,Flt4,Fgf17,Pdgfrb,Cacna2d4,Dusp5,Erbb2,Flnc,Efna5,Ntrk2,Insr,Flt3l,Cacna2d2,Gm5741
mmu04926	Relaxin signaling pathway	9	127	0.36	0.1729	10090.ENSMUSP00000001547,10090.ENSMUSP00000005164,10090.ENSMUSP00000021796,10090.ENSMUSP00000022718,10090.ENSMUSP00000031668,10090.ENSMUSP00000056774,10090.ENSMUSP00000057543,10090.ENSMUSP00000130530,10090.ENSMUSP00000136655	Col1a1,Prkacb,Edn1,Ednrb,Col1a2,Pik3r1,Gnai2,Adcy4,Gm5741
mmu04520	Adherens junction	6	68	0.45	0.1810	10090.ENSMUSP00000029611,10090.ENSMUSP00000053897,10090.ENSMUSP00000088837,10090.ENSMUSP00000109687,10090.ENSMUSP00000118318,10090.ENSMUSP00000153662	Lef1,Erbb2,Insr,Tcf7l1,Afdn,Ptprm
mmu05205	Proteoglycans in cancer	12	196	0.29	0.1810	10090.ENSMUSP00000001547,10090.ENSMUSP00000005164,10090.ENSMUSP00000017488,10090.ENSMUSP00000020234,10090.ENSMUSP00000029623,10090.ENSMUSP00000031668,10090.ENSMUSP00000053551,10090.ENSMUSP00000053897,10090.ENSMUSP00000056774,10090.ENSMUSP00000064163,10090.ENSMUSP00000113071,10090.ENSMUSP00000130604	Col1a1,Prkacb,Vtn,Timp3,Tlr2,Col1a2,Fzd9,Erbb2,Pik3r1,Flnc,Msn,Plce1
mmu04360	Axon guidance	11	175	0.31	0.1820	10090.ENSMUSP00000003154,10090.ENSMUSP00000009143,10090.ENSMUSP00000056774,10090.ENSMUSP00000057543,10090.ENSMUSP00000071966,10090.ENSMUSP00000076115,10090.ENSMUSP00000091870,10090.ENSMUSP00000104314,10090.ENSMUSP00000110377,10090.ENSMUSP00000110690,10090.ENSMUSP00000141865	Efna2,Bmp7,Pik3r1,Gnai2,Plxnb1,Efna5,Rgma,Ntn1,Dpysl5,Robo3,Sema3f
mmu04931	Insulin resistance	8	109	0.37	0.1820	10090.ENSMUSP00000020846,10090.ENSMUSP00000025835,10090.ENSMUSP00000029017,10090.ENSMUSP00000047564,10090.ENSMUSP00000056774,10090.ENSMUSP00000059129,10090.ENSMUSP00000071231,10090.ENSMUSP00000088837	Srebf1,Cpt1a,Pck1,Pygm,Pik3r1,Socs3,Pygl,Insr
mmu05221	Acute myeloid leukemia	6	70	0.44	0.1864	10090.ENSMUSP00000020118,10090.ENSMUSP00000024811,10090.ENSMUSP00000029611,10090.ENSMUSP00000056774,10090.ENSMUSP00000069744,10090.ENSMUSP00000109687	Dusp6,Pim1,Lef1,Pik3r1,Rara,Tcf7l1
mmu04371	Apelin signaling pathway	9	133	0.34	0.1907	10090.ENSMUSP00000005164,10090.ENSMUSP00000020930,10090.ENSMUSP00000033941,10090.ENSMUSP00000057543,10090.ENSMUSP00000064823,10090.ENSMUSP00000085016,10090.ENSMUSP00000130530,10090.ENSMUSP00000131010,10090.ENSMUSP00000136655	Prkacb,Gna13,Plat,Gnai2,Klf2,Notch3,Adcy4,Sphk1,Gm5741
mmu05144	Malaria	5	52	0.49	0.1907	10090.ENSMUSP00000000299,10090.ENSMUSP00000029623,10090.ENSMUSP00000083587,10090.ENSMUSP00000090895,10090.ENSMUSP00000102408	Itgb2,Tlr2,Icam1,Hba-a2,Pecam1
mmu04330	Notch signaling pathway	5	54	0.47	0.2093	10090.ENSMUSP00000019924,10090.ENSMUSP00000031607,10090.ENSMUSP00000040576,10090.ENSMUSP00000085016,10090.ENSMUSP00000106735	Hey2,Dtx1,Heyl,Notch3,Psen2
mmu00250	Alanine, aspartate and glutamate metabolism	4	37	0.54	0.2186	10090.ENSMUSP00000016105,10090.ENSMUSP00000022322,10090.ENSMUSP00000027144,10090.ENSMUSP00000113726	Adss,Glud1,Cps1,Il4i1
mmu04612	Antigen processing and presentation	6	75	0.41	0.2214	10090.ENSMUSP00000015667,10090.ENSMUSP00000078138,10090.ENSMUSP00000099739,10090.ENSMUSP00000109870,10090.ENSMUSP00000134570,10090.ENSMUSP00000148739	Ctss,H2-Q2,H2-T23,H2-DMb1,H2-D1,Rfxank
mmu04960	Aldosterone-regulated sodium reabsorption	4	38	0.53	0.2273	10090.ENSMUSP00000047353,10090.ENSMUSP00000056774,10090.ENSMUSP00000083077,10090.ENSMUSP00000088837	Atp1b2,Pik3r1,Atp1a2,Insr
mmu04976	Bile secretion	7	98	0.36	0.2379	10090.ENSMUSP00000005164,10090.ENSMUSP00000021231,10090.ENSMUSP00000026208,10090.ENSMUSP00000041519,10090.ENSMUSP00000047353,10090.ENSMUSP00000083077,10090.ENSMUSP00000130530	Prkacb,Abcc3,Abcc2,Sct,Atp1b2,Atp1a2,Adcy4
mmu04933	AGE-RAGE signaling pathway in diabetic complications	7	99	0.36	0.2431	10090.ENSMUSP00000001547,10090.ENSMUSP00000021796,10090.ENSMUSP00000024811,10090.ENSMUSP00000031668,10090.ENSMUSP00000056774,10090.ENSMUSP00000083587,10090.ENSMUSP00000130604	Col1a1,Edn1,Pim1,Col1a2,Pik3r1,Icam1,Plce1
